Market,State,Issuer_Name,Plan_ID,Plan_Type,Metal_Level,Claims_Received,Claims_Denied,Appeals_Overturned_Rate,Denial_Rate
Individual,AK,Premera Blue Cross Blue Shield of Alaska,38344AK1060004,PPO,Bronze Expanded,54777,17183,49.6%,31.4%
Individual,AK,Premera Blue Cross Blue Shield of Alaska,38344AK1070002,PPO,Bronze Expanded,68452,19381,49.6%,28.3%
Individual,AK,Premera Blue Cross Blue Shield of Alaska,38344AK1060001,PPO,Gold,214585,55204,49.6%,25.7%
Individual,AK,Premera Blue Cross Blue Shield of Alaska,38344AK1080001,PPO,Gold,138008,36491,49.6%,26.4%
Individual,AK,Premera Blue Cross Blue Shield of Alaska,38344AK1100001,PPO,Gold,46855,9386,49.6%,20.0%
Individual,AK,Premera Blue Cross Blue Shield of Alaska,38344AK1060002,PPO,Silver,71310,17319,49.6%,24.3%
Individual,AK,Premera Blue Cross Blue Shield of Alaska,38344AK1100002,PPO,Silver,38762,8586,49.6%,22.2%
Individual,AL,Blue Cross and Blue Shield of Alabama,46944AL0460001,PPO,Bronze Expanded,304448,105264,46.6%,34.6%
Individual,AL,Blue Cross and Blue Shield of Alabama,46944AL0560001,PPO,Bronze Expanded,384957,130214,46.6%,33.8%
Individual,AL,Blue Cross and Blue Shield of Alabama,46944AL0750001,PPO,Bronze Expanded,470416,199462,46.6%,42.4%
Individual,AL,Blue Cross and Blue Shield of Alabama,46944AL0470001,PPO,Catastrophic,37121,18656,46.6%,50.3%
Individual,AL,Blue Cross and Blue Shield of Alabama,46944AL0370001,PPO,Gold,354037,112025,46.6%,31.6%
Individual,AL,Blue Cross and Blue Shield of Alabama,46944AL0650001,PPO,Gold,312101,107980,46.6%,34.6%
Individual,AL,Blue Cross and Blue Shield of Alabama,46944AL0720001,PPO,Gold,44235,16734,46.6%,37.8%
Individual,AL,Blue Cross and Blue Shield of Alabama,46944AL0410001,PPO,Silver,1852487,612912,46.6%,33.1%
Individual,AL,Blue Cross and Blue Shield of Alabama,46944AL0660001,PPO,Silver,6049489,2113856,46.6%,34.9%
Individual,AL,Blue Cross and Blue Shield of Alabama,46944AL0710001,EPO,Silver,553015,225351,46.6%,40.7%
Individual,AL,Blue Cross and Blue Shield of Alabama,46944AL0730001,PPO,Silver,1662074,602505,46.6%,36.3%
Individual,AL,Blue Cross and Blue Shield of Alabama,46944AL0740001,EPO,Silver,360041,144930,46.6%,40.3%
Individual,AL,Celtic Insurance Company,53932AL0100003,EPO,Bronze Expanded,29024,5849,33.5%,20.2%
Individual,AL,Celtic Insurance Company,53932AL0100011,EPO,Bronze Expanded,8747,1768,33.5%,20.2%
Individual,AL,Celtic Insurance Company,53932AL0100014,EPO,Bronze Expanded,54430,10230,33.5%,18.8%
Individual,AL,Celtic Insurance Company,53932AL0110003,EPO,Bronze Expanded,3215,598,33.5%,18.6%
Individual,AL,Celtic Insurance Company,53932AL0110014,EPO,Bronze Expanded,3592,658,33.5%,18.3%
Individual,AL,Celtic Insurance Company,53932AL0100013,EPO,Gold,253,53,33.5%,20.9%
Individual,AL,Celtic Insurance Company,53932AL0100005,EPO,Silver,25915,4663,33.5%,18.0%
Individual,AL,Celtic Insurance Company,53932AL0100012,EPO,Silver,514310,82932,33.5%,16.1%
Individual,AL,Celtic Insurance Company,53932AL0110005,EPO,Silver,20930,3999,33.5%,19.1%
Individual,AL,UnitedHealthcare Insurance Company,69461AL0110007,EPO,Bronze Expanded,378883,66763,29.1%,17.6%
Individual,AL,UnitedHealthcare Insurance Company,69461AL0110018,EPO,Bronze Expanded,147293,26383,29.1%,17.9%
Individual,AL,UnitedHealthcare Insurance Company,69461AL0110010,EPO,Gold,394,83,29.1%,21.1%
Individual,AL,UnitedHealthcare Insurance Company,69461AL0110004,EPO,Silver,13099,3819,29.1%,29.2%
Individual,AL,UnitedHealthcare Insurance Company,69461AL0110013,EPO,Silver,13406,2779,29.1%,20.7%
Individual,AL,UnitedHealthcare Insurance Company,69461AL0110014,EPO,Silver,3806,1998,29.1%,52.5%
Individual,AR,Celtic Insurance Company,62141AR0080017,PPO,Bronze Expanded,94772,11095,34.4%,11.7%
Individual,AR,Celtic Insurance Company,62141AR0080026,PPO,Bronze Expanded,40344,4584,34.4%,11.4%
Individual,AR,Celtic Insurance Company,62141AR0080032,PPO,Bronze Expanded,69867,8499,34.4%,12.2%
Individual,AR,Celtic Insurance Company,62141AR0100017,PPO,Bronze Expanded,37618,4962,34.4%,13.2%
Individual,AR,Celtic Insurance Company,62141AR0100026,PPO,Bronze Expanded,26680,3417,34.4%,12.8%
Individual,AR,Celtic Insurance Company,62141AR0080014,PPO,Gold,41018,4976,34.4%,12.1%
Individual,AR,Celtic Insurance Company,62141AR0080030,PPO,Gold,56770,6892,34.4%,12.1%
Individual,AR,Celtic Insurance Company,62141AR0080034,PPO,Gold,11053,1651,34.4%,14.9%
Individual,AR,Celtic Insurance Company,62141AR0100014,PPO,Gold,23191,3430,34.4%,14.8%
Individual,AR,Celtic Insurance Company,62141AR0100030,PPO,Gold,33753,4223,34.4%,12.5%
Individual,AR,Celtic Insurance Company,62141AR0080007,PPO,Silver,3019940,380950,34.4%,12.6%
Individual,AR,Celtic Insurance Company,62141AR0080029,PPO,Silver,753141,94723,34.4%,12.6%
Individual,AR,Celtic Insurance Company,62141AR0080033,PPO,Silver,336866,43799,34.4%,13.0%
Individual,AR,Celtic Insurance Company,62141AR0100007,PPO,Silver,13378,1827,34.4%,13.7%
Individual,AR,Celtic Insurance Company,62141AR0100032,PPO,Silver,133826,16911,34.4%,12.6%
Individual,AR,"HMO Partners, Inc.",13262AR0230004,POS,Gold,821,124,34.2%,15.1%
Individual,AR,"HMO Partners, Inc.",13262AR0230002,POS,Silver,1345450,235999,34.2%,17.5%
Individual,AR,"HMO Partners, Inc.",13262AR0230005,POS,Silver,8459,1671,34.2%,19.8%
Individual,AR,"QCA Health Plan, Inc.",70525AR0070285,POS,Bronze Expanded,6514,712,32.2%,10.9%
Individual,AR,"QCA Health Plan, Inc.",70525AR0070287,POS,Bronze Expanded,1271,154,32.2%,12.1%
Individual,AR,"QCA Health Plan, Inc.",70525AR0070268,POS,Gold,6128,688,32.2%,11.2%
Individual,AR,"QCA Health Plan, Inc.",70525AR0070261,POS,Silver,1816207,223452,32.2%,12.3%
Individual,AR,"QCA Health Plan, Inc.",70525AR0070288,POS,Silver,2188,230,32.2%,10.5%
Individual,AR,"QualChoice Life & Health Insurance Company, Inc.",37903AR0070031,PPO,Gold,12355,1640,26.8%,13.3%
Individual,AR,"QualChoice Life & Health Insurance Company, Inc.",37903AR0070034,PPO,Gold,317,45,26.8%,14.2%
Individual,AR,"QualChoice Life & Health Insurance Company, Inc.",37903AR0070025,PPO,Silver,1802555,223050,26.8%,12.4%
Individual,AR,"QualChoice Life & Health Insurance Company, Inc.",37903AR0070033,PPO,Silver,28008,3631,26.8%,13.0%
Individual,AR,USAble Mutual Insurance Company,75293AR1200024,PPO,Bronze Expanded,267834,47993,31.3%,17.9%
Individual,AR,USAble Mutual Insurance Company,75293AR1200025,PPO,Gold,52821,9635,31.3%,18.2%
Individual,AR,USAble Mutual Insurance Company,75293AR1200004,PPO,Silver,3089427,492515,31.3%,15.9%
Individual,AR,USAble Mutual Insurance Company,75293AR1200023,PPO,Silver,54806,11247,31.3%,20.5%
Individual,AR,USAble Mutual Insurance Company,75293AR1200026,PPO,Silver,418312,72108,31.3%,17.2%
Individual,AZ,Banner Health and Aetna Health Plan Inc.,23435AZ0040001,HMO,Bronze Expanded,130470,25598,46.0%,19.6%
Individual,AZ,Banner Health and Aetna Health Plan Inc.,23435AZ0040011,HMO,Bronze Expanded,141964,30106,46.0%,21.2%
Individual,AZ,Banner Health and Aetna Health Plan Inc.,23435AZ0040012,HMO,Gold,13448,3100,46.0%,23.1%
Individual,AZ,Banner Health and Aetna Health Plan Inc.,23435AZ0040014,HMO,Silver,187172,38051,46.0%,20.3%
Individual,AZ,Banner Health and Aetna Health Plan Inc.,23435AZ0040015,HMO,Silver,915921,218975,46.0%,23.9%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420022,HMO,Bronze Expanded,2508,560,47.0%,22.3%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420023,HMO,Bronze Expanded,814,161,47.0%,19.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420024,HMO,Bronze Expanded,656,124,47.0%,18.9%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420027,HMO,Bronze Expanded,19833,2738,47.0%,13.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420028,HMO,Bronze Expanded,4019,757,47.0%,18.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420066,HMO,Bronze Expanded,4789,503,47.0%,10.5%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420067,HMO,Bronze Expanded,12674,2397,47.0%,18.9%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420068,HMO,Bronze Expanded,2139,423,47.0%,19.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420069,HMO,Bronze Expanded,6406,1116,47.0%,17.4%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420070,HMO,Bronze Expanded,4539,727,47.0%,16.0%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420071,HMO,Bronze Expanded,8020,1107,47.0%,13.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420085,HMO,Bronze Expanded,5367,829,47.0%,15.4%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420086,HMO,Bronze Expanded,3142,621,47.0%,19.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420087,HMO,Bronze Expanded,356,35,47.0%,9.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420088,HMO,Bronze Expanded,536,106,47.0%,19.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420089,HMO,Bronze Expanded,42090,6007,47.0%,14.3%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420090,HMO,Bronze Expanded,8688,1816,47.0%,20.9%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420091,HMO,Bronze Expanded,9509,1186,47.0%,12.5%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420092,HMO,Bronze Expanded,26348,4692,47.0%,17.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420093,HMO,Bronze Expanded,986,175,47.0%,17.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420094,HMO,Bronze Expanded,11683,2059,47.0%,17.6%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420095,HMO,Bronze Expanded,7282,1463,47.0%,20.1%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420096,HMO,Bronze Expanded,22574,3472,47.0%,15.4%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420107,HMO,Bronze Expanded,20254,3386,47.0%,16.7%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420122,HMO,Bronze Expanded,144,97,47.0%,67.4%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420125,HMO,Bronze Expanded,607,128,47.0%,21.1%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420128,HMO,Bronze Expanded,196,30,47.0%,15.3%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420131,HMO,Bronze Expanded,22237,3787,47.0%,17.0%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420134,HMO,Bronze Expanded,4296,1028,47.0%,23.9%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420137,HMO,Bronze Expanded,1254,130,47.0%,10.4%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420140,HMO,Bronze Expanded,15055,2460,47.0%,16.3%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420143,HMO,Bronze Expanded,858,208,47.0%,24.2%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420146,HMO,Bronze Expanded,6389,1296,47.0%,20.3%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420149,HMO,Bronze Expanded,3198,618,47.0%,19.3%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420152,HMO,Bronze Expanded,1967,218,47.0%,11.1%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420155,HMO,Bronze Expanded,1602,228,47.0%,14.2%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420001,HMO,Gold,1083,209,47.0%,19.3%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420002,HMO,Gold,467,65,47.0%,13.9%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420006,HMO,Gold,3430,406,47.0%,11.8%
Individual,AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901AZ1420007,HMO,Gold,837,188,47.0%,22.5%
