Individual Marketplace Medical Qualified Health Plans (QHPs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legend 
*                              Data not available for this issuer/plan
**                            Suppressed data due to small cell sizes                  
***                          Data not required due to plan type
N/A                         Data not applicable because issuer or plan offering is new to the Exchange
Missing URL            Financial Link unavailable on NAIC website",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual/SHOP,Exchange_Type,State,Issuer_Name,Issuer_ID,Is_Issuer_New_to_Exchange?(Yes_or_No),SADP_Only,Plan_ID,New_or_Returning_Plan,Plan_Type,QHP or SADP?,Metal_Level,URL_Claims_Payment_Policies,Issuer_Claims_Received_Out_of_Network,Issuer_Claims_Received_In_Network,"Issuer_Claims_Denied_Out_of_Network""",Issuer_Claims_Denied_In_Network,Issuer_Claims_Resubmitted_Out_of_Network,Issuer_Claims_Resubmitted_In_Network,Issuer_Internal_Appeals_Filed,Issuer_Number_Internal_Appeals_Overturned,Issuer_Percent_Internal_Appeals_Overturned,Issuer_External_Appeals_Filed,Issuer_Number_External_Appeals_Overturned,Issuer_Percent_External_Appeals_Overturned,Plan_Number_Claims_Received_Out_of_Network,Plan_Number_Claims_Received_In_Network,Plan_Number_Claims_Denied_Out_of_Network,Plan_Number_Claims_Denied_In_Network,Plan_Number_Claims_Resubmitted_Out_of_Network,Plan_Number_Claims_Resubmitted_In_Network,Plan_Number_Claims_Denied_Referral_Required,Plan_Number_Claims_Denied_Due_To_Out_Of_Network,Plan_Number_Claims_Denied_Services_Excluded,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excluding_Behavioral_Health,Plan_Number_Claims_Denied_Not_Medically_Necessary_Behavioral_Health_Only,Plan_Number_Claims_Denied_Due_To_Enrolle_Benefit_Limit_Reached,Plan_Number_Claims_Denied_Due_To_Member_Not_Covered,Plan_Number_Claims_Denied_Due_To_Investigational_Experimental_Cosmetic_Proceduce,Plan_Number_Claims_Denied_Due_To_Administrative_Reason,Plan_Number_Claims_Denied_Other,Enrollment_Data,Disenrollment_Data
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0750002,Returning,PPO,QHP,Bronze Expanded,https://pacificsource.com/members/learn-about-my-plan,7239,452760,2309,9756,96,1848,4055,946,23.3,**,**,**,1080,64560,374,1426,**,348,154,**,426,**,**,258,1123,116,1715,66,3457,327
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0750004,Returning,PPO,QHP,Silver,https://pacificsource.com/members/learn-about-my-plan,7239,452760,2309,9756,96,1848,4055,946,23.3,**,**,**,523,32853,166,764,**,115,47,**,173,**,**,83,1022,48,977,23,1146,137
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0750005,Returning,PPO,QHP,Silver,https://pacificsource.com/members/learn-about-my-plan,7239,452760,2309,9756,96,1848,4055,946,23.3,**,**,**,133,5468,91,109,**,15,**,**,24,**,**,14,108,17,203,**,177,28
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0750012,Returning,PPO,QHP,Bronze Expanded,https://pacificsource.com/members/learn-about-my-plan,7239,452760,2309,9756,96,1848,4055,946,23.3,**,**,**,1122,84963,344,1678,13,377,95,**,422,**,**,278,1776,137,2127,69,4163,485
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0750013,Returning,PPO,QHP,Silver,https://pacificsource.com/members/learn-about-my-plan,7239,452760,2309,9756,96,1848,4055,946,23.3,**,**,**,1050,107337,395,1934,15,363,118,**,609,**,**,269,2442,134,2277,82,3023,388
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0750014,Returning,PPO,QHP,Gold,https://pacificsource.com/members/learn-about-my-plan,7239,452760,2309,9756,96,1848,4055,946,23.3,**,**,**,793,64789,281,1481,13,246,115,**,458,**,**,377,1069,70,1621,72,1531,179
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0750020,New,PPO,QHP,Bronze Expanded,https://pacificsource.com/members/learn-about-my-plan,7239,452760,2309,9756,96,1848,4055,946,23.3,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0760001,Returning,PPO,QHP,Gold,https://pacificsource.com/members/learn-about-my-plan,7239,452760,2309,9756,96,1848,4055,946,23.3,**,**,**,1173,76744,408,1780,**,323,108,**,532,**,**,409,1245,90,2101,124,2036,215
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0760005,New,PPO,QHP,Gold,https://pacificsource.com/members/learn-about-my-plan,7239,452760,2309,9756,96,1848,4055,946,23.3,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0070004,Returning,PPO,QHP,Bronze Expanded,https://www.bcbswy.com/QHPTransparency,14022,976451,5257,187139,372,127768,536,307,57.3,**,**,**,1258,75485,490,13700,15,9787,914,14,3803,40,**,1256,4802,322,7631,926,2525,258
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0070013,Returning,PPO,QHP,Gold,https://www.bcbswy.com/QHPTransparency,14022,976451,5257,187139,372,127768,536,307,57.3,**,**,**,1800,101541,1012,19207,63,13593,1778,37,5366,89,11,2122,5409,262,11954,1488,1754,176
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0070014,Returning,PPO,QHP,Silver,https://www.bcbswy.com/QHPTransparency,14022,976451,5257,187139,372,127768,536,307,57.3,**,**,**,194,23744,83,6283,13,3222,352,**,1210,11,**,500,3248,78,2482,305,313,43
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0070016,Returning,PPO,QHP,Silver,https://www.bcbswy.com/QHPTransparency,14022,976451,5257,187139,372,127768,536,307,57.3,**,**,**,254,24241,128,4516,**,3107,309,**,1023,**,**,433,1874,110,2611,188,272,34
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0070025,Returning,PPO,QHP,Gold,https://www.bcbswy.com/QHPTransparency,14022,976451,5257,187139,372,127768,536,307,57.3,**,**,**,2846,186976,1075,31240,89,24474,3310,36,8721,265,45,3671,7994,641,20248,2055,4376,433
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0070026,Returning,PPO,QHP,Bronze,https://www.bcbswy.com/QHPTransparency,14022,976451,5257,187139,372,127768,536,307,57.3,**,**,**,444,16390,116,3982,14,2173,237,**,907,**,**,227,1524,65,2101,222,547,68
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0170016,Returning,PPO,QHP,Silver,https://www.bcbswy.com/QHPTransparency,14022,976451,5257,187139,372,127768,536,307,57.3,**,**,**,280,19979,102,3423,15,2390,401,**,861,12,**,432,949,55,2017,244,225,33
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0170017,Returning,PPO,QHP,Gold,https://www.bcbswy.com/QHPTransparency,14022,976451,5257,187139,372,127768,536,307,57.3,**,**,**,178,34850,54,6369,**,4589,584,**,1862,**,**,819,1092,116,3598,618,718,109
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0170018,Returning,PPO,QHP,Silver,https://www.bcbswy.com/QHPTransparency,14022,976451,5257,187139,372,127768,536,307,57.3,**,**,**,438,21994,128,3483,12,2672,609,15,1132,18,61,632,544,68,1910,230,246,37
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0170020,Returning,PPO,QHP,Bronze Expanded,https://www.bcbswy.com/QHPTransparency,14022,976451,5257,187139,372,127768,536,307,57.3,**,**,**,61,7158,15,1181,**,1052,110,**,433,**,**,113,136,**,689,88,216,41
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0170021,New,PPO,QHP,Silver,https://www.bcbswy.com/QHPTransparency,14022,976451,5257,187139,372,127768,536,307,57.3,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0060002,Returning,PPO,QHP,Silver,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,75521,2230333,18590,460775,1280,221473,33809,8333,88561,447,295,2901,46314,79,27761,270930,28263,3826
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0060004,Returning,PPO,QHP,Bronze Expanded,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,7718,543609,2120,107154,38,52080,6927,1718,20944,30,65,324,12548,**,8117,58599,15735,1859
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0060018,Returning,PPO,QHP,Gold,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,13003,994158,3700,189362,93,93780,14044,2854,35430,129,44,1260,17387,32,14019,107886,14332,1418
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0060028,Returning,PPO,QHP,Silver,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,19255,976846,4915,227277,180,101755,14133,2901,34507,89,61,820,45176,30,12658,121842,11234,1629
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0060031,Returning,PPO,QHP,Bronze Expanded,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,12501,749786,3188,150987,85,75140,10395,2213,28079,159,51,332,17414,45,11850,83648,18082,1897
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0060050,Returning,PPO,QHP,Gold,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,5716,327412,1237,62477,108,33422,5904,1269,11993,57,**,528,2841,**,5504,35613,4610,512
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0060051,Returning,PPO,QHP,Silver,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,16233,347703,4438,74575,368,40230,7213,2070,16525,33,75,316,3545,**,3954,45278,3194,416
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0060052,Returning,PPO,QHP,Bronze Expanded,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,5862,437546,1705,79242,16,43824,6584,1430,16975,39,**,455,4862,24,5579,45018,10716,1203
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0100009,Returning,POS,QHP,Gold,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,1486,22072,102,3149,25,509,56,**,212,**,**,17,529,**,252,2191,501,75
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0100011,Returning,POS,QHP,Silver,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,2574,23154,232,5017,94,946,40,**,224,**,**,53,2228,**,350,2349,440,72
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0100012,Returning,POS,QHP,Bronze Expanded,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,2512,26906,185,3742,63,955,81,**,292,**,**,**,817,**,366,2362,951,146
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0100034,Returning,POS,QHP,Gold,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,7773,256560,1534,34698,173,7778,716,**,2498,89,**,536,3116,39,6745,22486,5977,674
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0100044,Returning,POS,QHP,Silver,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,10124,342326,1857,57364,99,14017,922,**,3061,59,27,740,11307,21,10251,32851,6647,971
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0100054,Returning,POS,QHP,Bronze Expanded,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,4458,130940,575,18735,143,4092,423,**,1396,35,**,93,1421,**,3845,12097,4926,535
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0100064,Returning,POS,QHP,Silver,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,32300,942490,6243,142926,567,35695,2785,**,9862,147,66,1548,10082,75,34216,90549,21658,2897
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0100065,Returning,POS,QHP,Silver,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,4216,48674,426,7521,81,1793,167,**,519,**,**,66,1540,**,881,4761,860,148
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0100070,Returning,POS,QHP,Bronze Expanded,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,5050,110342,674,14861,134,3653,320,**,1297,11,**,80,1063,**,2925,9838,4662,577
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0100071,Returning,POS,QHP,Bronze Expanded,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,2103,19805,177,2681,130,632,53,**,243,**,**,**,561,**,236,1755,858,114
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0100072,Returning,POS,QHP,Gold,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,3644,87673,1028,11853,16,2644,280,**,897,**,**,264,136,**,3247,8050,1982,280
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0100073,Returning,POS,QHP,Silver,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,9608,236997,1754,36120,356,8053,686,**,2439,24,**,450,482,11,10873,22930,5168,566
Individual,FFE,NC,Blue Cross and Blue Shield of NC,11512,No,No,11512NC0100074,Returning,POS,QHP,Bronze Expanded,https://www.bluecrossnc.com/members/health-plans/forms-resources/transparency-coverage,828734,18257563,280629,3451238,16305,1483453,1861,665,35.7,77,41,53.2,2734,79521,315,9711,23,2514,195,**,916,69,**,105,224,**,2228,6292,3001,382
