Individual Marketplace Medical Qualified Health Plans (QHPs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legend 
*                              Data not available for this issuer/plan
**                            Suppressed data due to small cell sizes                  
***                          Data not required due to plan type
N/A                         Data not applicable because issuer or plan offering is new to the Exchange
Missing URL            Financial Link unavailable on NAIC website",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual/SHOP,Exchange_Type,State,Issuer_Name,Issuer_ID,Is_Issuer_New_to_Exchange?(Yes_or_No),SADP_Only,Plan_ID,New_or_Returning_Plan,Plan_Type,QHP or SADP?,Metal_Level,URL_Claims_Payment_Policies,Issuer_Claims_Received_Out_of_Network,Issuer_Claims_Received_In_Network,"Issuer_Claims_Denied_Out_of_Network""",Issuer_Claims_Denied_In_Network,Issuer_Claims_Resubmitted_Out_of_Network,Issuer_Claims_Resubmitted_In_Network,Issuer_Internal_Appeals_Filed,Issuer_Number_Internal_Appeals_Overturned,Issuer_Percent_Internal_Appeals_Overturned,Issuer_External_Appeals_Filed,Issuer_Number_External_Appeals_Overturned,Issuer_Percent_External_Appeals_Overturned,Plan_Number_Claims_Received_Out_of_Network,Plan_Number_Claims_Received_In_Network,Plan_Number_Claims_Denied_Out_of_Network,Plan_Number_Claims_Denied_In_Network,Plan_Number_Claims_Resubmitted_Out_of_Network,Plan_Number_Claims_Resubmitted_In_Network,Plan_Number_Claims_Denied_Referral_Required,Plan_Number_Claims_Denied_Due_To_Out_Of_Network,Plan_Number_Claims_Denied_Services_Excluded,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excluding_Behavioral_Health,Plan_Number_Claims_Denied_Due_To_Enrolle_Benefit_Limit_Reached,Plan_Number_Claims_Denied_Due_To_Member_Not_Covered,Plan_Number_Claims_Denied_Due_To_Investigational_Experimental_Cosmetic_Proceduce,Plan_Number_Claims_Denied_Due_To_Administrative_Reason,Plan_Number_Claims_Denied_Other,Enrollment_Data,Disenrollment_Data
Individual,SPE,HI,BEST Life and Health Insurance Company,10046,No,Yes,10046HI0020003,Returning,PPO,SADP,High,https://www.bestlife.com/HI/index.html,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,100,23
Individual,SPE,HI,BEST Life and Health Insurance Company,10046,No,Yes,10046HI0020006,Returning,PPO,SADP,Low,https://www.bestlife.com/HI/index.html,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,54,11
Individual,SPE,HI,BEST Life and Health Insurance Company,10046,No,Yes,10046HI0020007,New,PPO,SADP,High,https://www.bestlife.com/HI/index.html,**,**,**,**,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,HI,BEST Life and Health Insurance Company,10046,No,Yes,10046HI0020008,New,PPO,SADP,Low,https://www.bestlife.com/HI/index.html,**,**,**,**,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0720001,Returning,PPO,SADP,High,https://pacificsource.com/members/learn-about-my-plan,7239,452760,2309,9756,96,1848,4055,946,23.3,**,**,**,495,1746,63,152,**,14,**,**,94,**,48,99,**,68,125,1143,193
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0720002,Returning,PPO,SADP,High,https://pacificsource.com/members/learn-about-my-plan,7239,452760,2309,9756,96,1848,4055,946,23.3,**,**,**,**,40,**,**,**,**,**,**,**,**,**,**,**,**,**,19,**
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0720004,Returning,PPO,SADP,High,https://pacificsource.com/members/learn-about-my-plan,7239,452760,2309,9756,96,1848,4055,946,23.3,**,**,**,642,1501,85,165,20,21,**,**,128,**,62,82,**,84,96,1008,166
Individual,FFE,MS,BEST Life and Health Insurance Company,11324,No,Yes,11324MS0020003,Returning,PPO,SADP,High,https://www.bestlife.com/MS/index.html,**,25,**,15,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,213,39
Individual,FFE,MS,BEST Life and Health Insurance Company,11324,No,Yes,11324MS0020006,Returning,PPO,SADP,Low,https://www.bestlife.com/MS/index.html,**,25,**,15,**,**,**,**,**,**,**,**,**,12,**,**,**,**,**,**,**,**,**,**,**,**,**,343,92
Individual,FFE,MS,BEST Life and Health Insurance Company,11324,No,Yes,11324MS0020007,New,PPO,SADP,High,https://www.bestlife.com/MS/index.html,**,25,**,15,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,MS,BEST Life and Health Insurance Company,11324,No,Yes,11324MS0020008,New,PPO,SADP,Low,https://www.bestlife.com/MS/index.html,**,25,**,15,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,KS,Dentegra Insurance Company,11339,No,Yes,11339KS0010007,Returning,PPO,SADP,Low,https://www.dentegra.com/how-marketplace-plans-work,1168,2061,75,935,86,130,**,**,**,**,**,**,998,1456,75,707,85,85,**,512,465,**,19,45,**,**,43,344,76
Individual,SPE,KS,Dentegra Insurance Company,11339,No,Yes,11339KS0010008,Returning,PPO,SADP,High,https://www.dentegra.com/how-marketplace-plans-work,1168,2061,75,935,86,130,**,**,**,**,**,**,170,605,**,228,**,45,**,92,155,**,25,**,**,**,**,80,18
Individual,FFE,LA,"DentaQuest USA Insurance Company, Inc.",11904,No,Yes,11904LA0010011,New,PPO,SADP,High,https://www.dentaquest.com/en/members/marketplace/transparency-in-coverage,82,537,82,240,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,LA,"DentaQuest USA Insurance Company, Inc.",11904,No,Yes,11904LA0010012,New,PPO,SADP,High,https://www.dentaquest.com/en/members/marketplace/transparency-in-coverage,82,537,82,240,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,LA,"DentaQuest USA Insurance Company, Inc.",11904,No,Yes,11904LA0010013,New,PPO,SADP,Low,https://www.dentaquest.com/en/members/marketplace/transparency-in-coverage,82,537,82,240,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AZ,"DentaQuest National Insurance Company, Inc.",12303,No,Yes,12303AZ0010001,Returning,PPO,SADP,High,https://www.dentaquest.com/en/members/marketplace/transparency-in-coverage,884,1332,566,594,**,**,**,**,**,**,**,**,26,31,18,17,**,**,**,**,17,**,**,**,**,**,17,34,**
Individual,FFE,AZ,"DentaQuest National Insurance Company, Inc.",12303,No,Yes,12303AZ0010003,Returning,PPO,SADP,High,https://www.dentaquest.com/en/members/marketplace/transparency-in-coverage,884,1332,566,594,**,**,**,**,**,**,**,**,449,600,271,274,**,**,**,**,265,15,29,**,**,**,228,562,132
Individual,FFE,AZ,"DentaQuest National Insurance Company, Inc.",12303,No,Yes,12303AZ0010004,Returning,PPO,SADP,Low,https://www.dentaquest.com/en/members/marketplace/transparency-in-coverage,884,1332,566,594,**,**,**,**,**,**,**,**,409,701,277,303,**,**,**,**,330,20,24,**,**,**,202,675,124
Individual,FFE,OK,TRUASSURE INSURANCE COMPANY,12513,No,Yes,12513OK0010001,Returning,PPO,SADP,Low,https://www.truassure.com/aca-plans.html,1985,1523,343,322,30,84,**,**,**,**,**,**,1821,1369,321,287,28,75,**,**,36,**,**,**,**,**,572,2035,446
Individual,FFE,OK,TRUASSURE INSURANCE COMPANY,12513,No,Yes,12513OK0020001,Returning,PPO,SADP,High,https://www.truassure.com/aca-plans.html,1985,1523,343,322,30,84,**,**,**,**,**,**,164,154,22,35,**,**,**,**,**,**,**,**,**,**,54,156,29
Individual,FFE,OK,TRUASSURE INSURANCE COMPANY,12513,No,Yes,12513OK0050001,New,PPO,SADP,Low,https://www.truassure.com/aca-plans.html,1985,1523,343,322,30,84,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AL,BEST Life and Health Insurance Company,12538,No,Yes,12538AL0020003,Returning,PPO,SADP,High,https://www.bestlife.com/AL/index.html,12,18,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,776,148
Individual,FFE,AL,BEST Life and Health Insurance Company,12538,No,Yes,12538AL0020006,Returning,PPO,SADP,High,https://www.bestlife.com/AL/index.html,12,18,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,1815,375
Individual,FFE,AL,BEST Life and Health Insurance Company,12538,No,Yes,12538AL0020007,New,PPO,SADP,High,https://www.bestlife.com/AL/index.html,12,18,**,**,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AL,BEST Life and Health Insurance Company,12538,No,Yes,12538AL0020008,New,PPO,SADP,High,https://www.bestlife.com/AL/index.html,12,18,**,**,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,The Guardian Life Insurance Company,12846,No,Yes,12846TX0270004,New,PPO,SADP,Low,https://assets.ctfassets.net/jrhizl9l7csx/2y3iIRUakhVeP1wDQHwOF4/31db852d1accdce209dcac5391c08596/Transparency_in_Coverage_2024_07252024.pdf,7268,15166,4025,7759,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,The Guardian Life Insurance Company,12846,No,Yes,12846TX0280004,New,PPO,SADP,Low,https://assets.ctfassets.net/jrhizl9l7csx/2y3iIRUakhVeP1wDQHwOF4/31db852d1accdce209dcac5391c08596/Transparency_in_Coverage_2024_07252024.pdf,7268,15166,4025,7759,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,The Guardian Life Insurance Company,12846,No,Yes,12846TX0290005,New,PPO,SADP,Low,https://assets.ctfassets.net/jrhizl9l7csx/2y3iIRUakhVeP1wDQHwOF4/b56aee5e05352bc966541cd5709492e3/Transparency_in_Coverage_2024.pdf,7268,15166,4025,7759,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,The Guardian Life Insurance Company,12846,No,Yes,12846TX0300003,New,PPO,SADP,Low,https://assets.ctfassets.net/jrhizl9l7csx/2y3iIRUakhVeP1wDQHwOF4/b56aee5e05352bc966541cd5709492e3/Transparency_in_Coverage_2024.pdf,7268,15166,4025,7759,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,OK,Renaissance Life & Health Insurance Company of America,13711,No,Yes,13711OK0040003,Returning,PPO,SADP,Low,https://renaissancebenefits.com/understanding-your-benefits/affordable-care-act-coverage/,1333,4486,519,1408,126,318,**,**,**,**,**,**,866,2685,329,880,65,182,**,481,270,**,100,129,**,96,610,605,108
Individual,FFE,OK,Renaissance Life & Health Insurance Company of America,13711,No,Yes,13711OK0050002,Returning,PPO,SADP,Low,https://renaissancebenefits.com/understanding-your-benefits/affordable-care-act-coverage/,1333,4486,519,1408,126,318,**,**,**,**,**,**,11,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0
Individual,FFE,OK,Renaissance Life & Health Insurance Company of America,13711,No,Yes,13711OK0100001,Returning,PPO,SADP,Low,https://renaissancebenefits.com/understanding-your-benefits/affordable-care-act-coverage/,1333,4486,519,1408,126,318,**,**,**,**,**,**,366,1787,100,517,25,135,**,145,346,**,11,56,**,65,171,582,142
Individual,SBE-FP,IL,UnitedHealthcare Insurance Company,13947,Yes,Yes,13947IL0080001,New,PPO,SADP,High,https://www.solsticecare.com/claimsFaq.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,WI,Chorus Community Health Plans,14630,No,No,14630WI0020001,Returning,PPO,SADP,High,https://chorushealthplans.org/our-plans/individual-and-family-plans/member-resources/about-individual-and-family-plans/transparency-in-coverage,7922,209169,3205,18276,122,1619,320,154,48.1,**,**,**,78,213,33,74,**,22,**,**,**,**,**,**,**,**,96,47,**
Individual,FFE,WI,Chorus Community Health Plans,14630,No,No,14630WI0020002,Returning,PPO,SADP,High,https://chorushealthplans.org/our-plans/individual-and-family-plans/member-resources/about-individual-and-family-plans/transparency-in-coverage,7922,209169,3205,18276,122,1619,320,154,48.1,**,**,**,34,102,**,21,**,**,**,**,**,**,**,**,**,**,13,58,17
Individual,FFE,WI,Chorus Community Health Plans,14630,No,No,14630WI0020003,Returning,PPO,SADP,Low,https://chorushealthplans.org/our-plans/individual-and-family-plans/member-resources/about-individual-and-family-plans/transparency-in-coverage,7922,209169,3205,18276,122,1619,320,154,48.1,**,**,**,37,146,17,57,**,14,**,**,**,**,**,**,**,**,66,64,16
Individual,SPE,UT,"Alpha Dental of Utah, Inc.",14948,No,Yes,14948UT0040003,Returning,HMO,SADP,Low,https://www.deltadentalins.com/hcx/how-your-marketplace-plan-works.html,570,5610,465,2495,19,270,**,**,**,**,**,**,365,2956,285,1300,**,156,33,256,526,**,249,56,**,49,430,613,155
Individual,SPE,UT,"Alpha Dental of Utah, Inc.",14948,No,Yes,14948UT0040004,Returning,HMO,SADP,High,https://www.deltadentalins.com/hcx/how-your-marketplace-plan-works.html,570,5610,465,2495,19,270,**,**,**,**,**,**,205,2654,180,1195,16,114,46,199,210,**,165,425,**,16,432,447,132
Individual,SPE,MI,Blue Cross Blue Shield of Michigan Mutual Insurance Company,15560,No,No,15560MI0710001,Returning,PPO,SADP,Low,https://www.bcbsm.com/what-to-know-about-aca-plans/index/,265331,1423397,58308,207020,4521,102170,175,69,39.4,289,53,18.3,24157,17984,94,45,21,92,**,**,64,**,**,**,**,107,24,484,50
Individual,SPE,MI,Blue Cross Blue Shield of Michigan Mutual Insurance Company,15560,No,No,15560MI0720001,Returning,PPO,SADP,Low,https://www.bcbsm.com/what-to-know-about-aca-plans/index/,265331,1423397,58308,207020,4521,102170,175,69,39.4,289,53,18.3,42246,43743,215,185,33,132,**,**,165,**,12,**,**,157,75,2620,335
Individual,SPE,MI,Blue Cross Blue Shield of Michigan Mutual Insurance Company,15560,No,No,15560MI0720002,Returning,PPO,SADP,High,https://www.bcbsm.com/what-to-know-about-aca-plans/index/,265331,1423397,58308,207020,4521,102170,175,69,39.4,289,53,18.3,52324,41315,237,202,103,273,**,**,165,**,22,11,**,234,127,3710,592
Individual,SPE,MI,Blue Cross Blue Shield of Michigan Mutual Insurance Company,15560,No,No,15560MI0720003,Returning,PPO,SADP,High,https://www.bcbsm.com/what-to-know-about-aca-plans/index/,265331,1423397,58308,207020,4521,102170,175,69,39.4,289,53,18.3,27612,30245,154,150,67,200,**,**,122,**,**,17,**,145,63,4092,661
